Drug.Name	KE.ID	KE.name	KE.type	interaction
5alpha-Dihydrotestosterone	25	Agonism, Androgen receptor	MolecularInitiatingEvent	directMIE
Spironolactone	25	Agonism, Androgen receptor	MolecularInitiatingEvent	directMIE
Letrozole	36	Inhibition, Aromatase	MolecularInitiatingEvent	directMIE
Naproxen	79	Inhibition, Cyclooxygenase activity	MolecularInitiatingEvent	directMIE
Aspirin	79	Inhibition, Cyclooxygenase activity	MolecularInitiatingEvent	directMIE
Ibuprofen	79	Inhibition, Cyclooxygenase activity	MolecularInitiatingEvent	directMIE
Indomethacin	79	Inhibition, Cyclooxygenase activity	MolecularInitiatingEvent	directMIE
Celecoxib	79	Inhibition, Cyclooxygenase activity	MolecularInitiatingEvent	directMIE
Troglitazone	228	peroxisome proliferator activated receptor promoter demethylation	MolecularInitiatingEvent	directMIE
Genistein	279	Thyroperoxidase, Inhibition	MolecularInitiatingEvent	directMIE
Resorcinol	279	Thyroperoxidase, Inhibition	MolecularInitiatingEvent	directMIE
1-CHLORO-2,4- DINITROBENZENE	396	Covalent Binding, Protein	MolecularInitiatingEvent	directMIE
Topiramate	584	Inhibition, sodium channel	MolecularInitiatingEvent	directMIE
Amiodarone	584	Inhibition, sodium channel	MolecularInitiatingEvent	directMIE
Zonisamide	584	Inhibition, sodium channel	MolecularInitiatingEvent	directMIE
Carbamazepine	584	Inhibition, sodium channel	MolecularInitiatingEvent	directMIE
Lidocaine	584	Inhibition, sodium channel	MolecularInitiatingEvent	directMIE
Verapamil	593	Inhibition, Ether-a-go-go (ERG) voltage-gated potassium channel 	MolecularInitiatingEvent	directMIE
Chlorpromazine	593	Inhibition, Ether-a-go-go (ERG) voltage-gated potassium channel 	MolecularInitiatingEvent	directMIE
Amiodarone	593	Inhibition, Ether-a-go-go (ERG) voltage-gated potassium channel 	MolecularInitiatingEvent	directMIE
Permethrin	598	modulation, sodium channel	MolecularInitiatingEvent	directMIE
Thiabendazole	718	Binding, Tubulin	MolecularInitiatingEvent	directMIE
Podofilox	718	Binding, Tubulin	MolecularInitiatingEvent	directMIE
Vincristine	718	Binding, Tubulin	MolecularInitiatingEvent	directMIE
Thiabendazole	723	Altered, Chromosome number	KeyEvent	directKE
Dichloroacetic acid	724	Inhibition, Pyruvate dehydrogenase kinase (PDK) enzyme	MolecularInitiatingEvent	directMIE
Flutamide	742	Decreased, Androgen receptor activity	MolecularInitiatingEvent	directMIE
Bromocriptine	746	Increase, Dopaminergic activity	MolecularInitiatingEvent	directMIE
Finasteride	790	Inhibition, 5alpha-reductase activity	MolecularInitiatingEvent	directMIE
Atorvastatin	807	Decreased, cholesterol	KeyEvent	directKE
Telmisartan	877	Inhibition, organic anion transporter 1 (OAT1)	MolecularInitiatingEvent	directMIE
Mefenamic acid	877	Inhibition, organic anion transporter 1 (OAT1)	MolecularInitiatingEvent	directMIE
Ibuprofen	877	Inhibition, organic anion transporter 1 (OAT1)	MolecularInitiatingEvent	directMIE
Oxaprozin	877	Inhibition, organic anion transporter 1 (OAT1)	MolecularInitiatingEvent	directMIE
Diflunisal	877	Inhibition, organic anion transporter 1 (OAT1)	MolecularInitiatingEvent	directMIE
Ketoprofen	877	Inhibition, organic anion transporter 1 (OAT1)	MolecularInitiatingEvent	directMIE
Indomethacin	877	Inhibition, organic anion transporter 1 (OAT1)	MolecularInitiatingEvent	directMIE
Tacrolimus	1201	Binding, Immunophilins	KeyEvent	directKE
Methotrexate	1202	Suppression, IL-2 and IL-4 production	KeyEvent	directKE
Doxorubicin	1269	Increase, COX-2 expression	KeyEvent	directKE
Tioconazole	1386	CYP7B activity, inhibition	MolecularInitiatingEvent	directMIE
Fluconazole	1386	CYP7B activity, inhibition	MolecularInitiatingEvent	directMIE
