name	type
Agonism, Androgen receptor	MolecularInitiatingEvent
Inhibition, Aromatase	MolecularInitiatingEvent
Inhibition, Cyclooxygenase activity	MolecularInitiatingEvent
peroxisome proliferator activated receptor promoter demethylation	MolecularInitiatingEvent
Thyroperoxidase, Inhibition	MolecularInitiatingEvent
Covalent Binding, Protein	MolecularInitiatingEvent
Inhibition, sodium channel	MolecularInitiatingEvent
Inhibition, Ether-a-go-go (ERG) voltage-gated potassium channel 	MolecularInitiatingEvent
modulation, sodium channel	MolecularInitiatingEvent
Binding, Tubulin	MolecularInitiatingEvent
Altered, Chromosome number	KeyEvent
Inhibition, Pyruvate dehydrogenase kinase (PDK) enzyme	MolecularInitiatingEvent
Decreased, Androgen receptor activity	MolecularInitiatingEvent
Increase, Dopaminergic activity	MolecularInitiatingEvent
Inhibition, 5alpha-reductase activity	MolecularInitiatingEvent
Decreased, cholesterol	KeyEvent
Inhibition, organic anion transporter 1 (OAT1)	MolecularInitiatingEvent
Binding, Immunophilins	KeyEvent
Suppression, IL-2 and IL-4 production	KeyEvent
Increase, COX-2 expression	KeyEvent
CYP7B activity, inhibition	MolecularInitiatingEvent
Activation of Cyp2E1	MolecularInitiatingEvent
Oxidative Stress 	KeyEvent
Hepatocytotoxicity	KeyEvent
Induction, persistent proliferation/sustained proliferation	KeyEvent
Increase, Mitochondrial complex III antagonism	MolecularInitiatingEvent
Mitochondrial Complex IV inhibition	MolecularInitiatingEvent
Mitochondrial Complex V inhibition	MolecularInitiatingEvent
Impaired T cell activation	KeyEvent
Decreased IL-1 production	KeyEvent
Impaired IL-1 signaling	KeyEvent
Inhibition, IKK complex	MolecularInitiatingEvent
Binding of microtubule stabilizing agents (MSA) to microtubules	MolecularInitiatingEvent
Impaired Ab production	KeyEvent
decrease, male anogenital distance	AdverseOutcome
Decreased, 11-ketotestosterone	KeyEvent
Impaired, Spermatogenesis	KeyEvent
Binding at picrotoxin site, iGABAR chloride channel	MolecularInitiatingEvent
impaired, ion channels	MolecularInitiatingEvent
Disruption, Microtubule dynamics	KeyEvent
Disorganization, Spindle	KeyEvent
Increase, Aneuploid offspring	AdverseOutcome
Activation, Constitutive androstane receptor	MolecularInitiatingEvent
