Drug.Name	KE.ID	KE.name	KE.type	interact
5alpha-Dihydrotestosterone	25	Agonism, Androgen receptor	MolecularInitiatingEvent	MIEdirect
Spironolactone	25	Agonism, Androgen receptor	MolecularInitiatingEvent	MIEdirect
Letrozole	36	Inhibition, Aromatase	MolecularInitiatingEvent	MIEdirect
Naproxen	79	Inhibition, Cyclooxygenase activity	MolecularInitiatingEvent	MIEdirect
Aspirin	79	Inhibition, Cyclooxygenase activity	MolecularInitiatingEvent	MIEdirect
Ibuprofen	79	Inhibition, Cyclooxygenase activity	MolecularInitiatingEvent	MIEdirect
Indomethacin	79	Inhibition, Cyclooxygenase activity	MolecularInitiatingEvent	MIEdirect
Celecoxib	79	Inhibition, Cyclooxygenase activity	MolecularInitiatingEvent	MIEdirect
Troglitazone	228	peroxisome proliferator activated receptor promoter demethylation	MolecularInitiatingEvent	MIEdirect
Genistein	279	Thyroperoxidase, Inhibition	MolecularInitiatingEvent	MIEdirect
Resorcinol	279	Thyroperoxidase, Inhibition	MolecularInitiatingEvent	MIEdirect
1-CHLORO-2,4- DINITROBENZENE	396	Covalent Binding, Protein	MolecularInitiatingEvent	MIEdirect
Topiramate	584	Inhibition, sodium channel	MolecularInitiatingEvent	MIEdirect
Amiodarone	584	Inhibition, sodium channel	MolecularInitiatingEvent	MIEdirect
Zonisamide	584	Inhibition, sodium channel	MolecularInitiatingEvent	MIEdirect
Carbamazepine	584	Inhibition, sodium channel	MolecularInitiatingEvent	MIEdirect
Lidocaine	584	Inhibition, sodium channel	MolecularInitiatingEvent	MIEdirect
Verapamil	593	Inhibition, Ether-a-go-go (ERG) voltage-gated potassium channel 	MolecularInitiatingEvent	MIEdirect
Chlorpromazine	593	Inhibition, Ether-a-go-go (ERG) voltage-gated potassium channel 	MolecularInitiatingEvent	MIEdirect
Amiodarone	593	Inhibition, Ether-a-go-go (ERG) voltage-gated potassium channel 	MolecularInitiatingEvent	MIEdirect
Permethrin	598	modulation, sodium channel	MolecularInitiatingEvent	MIEdirect
Thiabendazole	718	Binding, Tubulin	MolecularInitiatingEvent	MIEdirect
Podofilox	718	Binding, Tubulin	MolecularInitiatingEvent	MIEdirect
Vincristine	718	Binding, Tubulin	MolecularInitiatingEvent	MIEdirect
Thiabendazole	723	Altered, Chromosome number	KeyEvent	KEdirect
Dichloroacetic acid	724	Inhibition, Pyruvate dehydrogenase kinase (PDK) enzyme	MolecularInitiatingEvent	MIEdirect
Flutamide	742	Decreased, Androgen receptor activity	MolecularInitiatingEvent	MIEdirect
Bromocriptine	746	Increase, Dopaminergic activity	MolecularInitiatingEvent	MIEdirect
Finasteride	790	Inhibition, 5alpha-reductase activity	MolecularInitiatingEvent	MIEdirect
Atorvastatin	807	Decreased, cholesterol	KeyEvent	KEdirect
Telmisartan	877	Inhibition, organic anion transporter 1 (OAT1)	MolecularInitiatingEvent	MIEdirect
Mefenamic acid	877	Inhibition, organic anion transporter 1 (OAT1)	MolecularInitiatingEvent	MIEdirect
Ibuprofen	877	Inhibition, organic anion transporter 1 (OAT1)	MolecularInitiatingEvent	MIEdirect
Oxaprozin	877	Inhibition, organic anion transporter 1 (OAT1)	MolecularInitiatingEvent	MIEdirect
Diflunisal	877	Inhibition, organic anion transporter 1 (OAT1)	MolecularInitiatingEvent	MIEdirect
Ketoprofen	877	Inhibition, organic anion transporter 1 (OAT1)	MolecularInitiatingEvent	MIEdirect
Indomethacin	877	Inhibition, organic anion transporter 1 (OAT1)	MolecularInitiatingEvent	MIEdirect
Tacrolimus	1201	Binding, Immunophilins	KeyEvent	KEdirect
Methotrexate	1202	Suppression, IL-2 and IL-4 production	KeyEvent	KEdirect
Doxorubicin	1269	Increase, COX-2 expression	KeyEvent	KEdirect
Tioconazole	1386	CYP7B activity, inhibition	MolecularInitiatingEvent	MIEdirect
Fluconazole	1386	CYP7B activity, inhibition	MolecularInitiatingEvent	MIEdirect
Miconazole	1386	CYP7B activity, inhibition	MolecularInitiatingEvent	MIEdirect
Voriconazole	1386	CYP7B activity, inhibition	MolecularInitiatingEvent	MIEdirect
Clotrimazole	1386	CYP7B activity, inhibition	MolecularInitiatingEvent	MIEdirect
Acetaminophen	1391	Activation of Cyp2E1	MolecularInitiatingEvent	MIEdirect
Acetaminophen	1392	Oxidative Stress 	KeyEvent	KEdirect
Acetaminophen	1393	Hepatocytotoxicity	KeyEvent	KEdirect
Acetaminophen	1394	Induction, persistent proliferation/sustained proliferation	KeyEvent	KEdirect
Amiodarone	1542	Increase, Mitochondrial complex III antagonism	MolecularInitiatingEvent	MIEdirect
Benzbromarone	1543	Mitochondrial Complex IV inhibition	MolecularInitiatingEvent	MIEdirect
Entacapone	1543	Mitochondrial Complex IV inhibition	MolecularInitiatingEvent	MIEdirect
Amiodarone	1543	Mitochondrial Complex IV inhibition	MolecularInitiatingEvent	MIEdirect
Metformin	1543	Mitochondrial Complex IV inhibition	MolecularInitiatingEvent	MIEdirect
Amiodarone	1544	Mitochondrial Complex V inhibition	MolecularInitiatingEvent	MIEdirect
Metformin	1544	Mitochondrial Complex V inhibition	MolecularInitiatingEvent	MIEdirect
Dexamethasone	1569	Impaired T cell activation	KeyEvent	KEdirect
Minocycline	1569	Impaired T cell activation	KeyEvent	KEdirect
Dexamethasone	1571	Decreased IL-1 production	KeyEvent	KEdirect
Minocycline	1571	Decreased IL-1 production	KeyEvent	KEdirect
Dexamethasone	1572	Impaired IL-1 signaling	KeyEvent	KEdirect
Minocycline	1572	Impaired IL-1 signaling	KeyEvent	KEdirect
Sulindac	1574	Inhibition, IKK complex	MolecularInitiatingEvent	MIEdirect
Ibuprofen	1574	Inhibition, IKK complex	MolecularInitiatingEvent	MIEdirect
Aspirin	1574	Inhibition, IKK complex	MolecularInitiatingEvent	MIEdirect
Paclitaxel	1580	Binding of microtubule stabilizing agents (MSA) to microtubules	MolecularInitiatingEvent	MIEdirect
Epothilone B	1580	Binding of microtubule stabilizing agents (MSA) to microtubules	MolecularInitiatingEvent	MIEdirect
Dexamethasone	1644	Impaired Ab production	KeyEvent	KEdirect
Minocycline	1644	Impaired Ab production	KeyEvent	KEdirect
Ketoconazole	1688	decrease, male anogenital distance	AdverseOutcome	AOdirect
Dexamethasone	1688	decrease, male anogenital distance	AdverseOutcome	AOdirect
beta-Sitosterol	1756	Decreased, 11-ketotestosterone	KeyEvent	KEdirect
Carbamazepine	1756	Decreased, 11-ketotestosterone	KeyEvent	KEdirect
Flutamide	1758	Impaired, Spermatogenesis	KeyEvent	KEdirect
Picrotoxin	667	Binding at picrotoxin site, iGABAR chloride channel	MolecularInitiatingEvent	MIEdirect
Lindane	667	Binding at picrotoxin site, iGABAR chloride channel	MolecularInitiatingEvent	MIEdirect
Tetracycline	79	Inhibition, Cyclooxygenase activity	MolecularInitiatingEvent	MIEdirect
Eugenol	79	Inhibition, Cyclooxygenase activity	MolecularInitiatingEvent	MIEdirect
Anthralin	79	Inhibition, Cyclooxygenase activity	MolecularInitiatingEvent	MIEdirect
Clofibrate	79	Inhibition, Cyclooxygenase activity	MolecularInitiatingEvent	MIEdirect
Tolazamide	697	impaired, ion channels	MolecularInitiatingEvent	MIEdirect
Colchicine	718	Binding, Tubulin	MolecularInitiatingEvent	MIEdirect
Colchicine	720	Disruption, Microtubule dynamics	KeyEvent	KEdirect
Colchicine	721	Disorganization, Spindle	KeyEvent	KEdirect
Colchicine	723	Altered, Chromosome number	KeyEvent	KEdirect
Colchicine	728	Increase, Aneuploid offspring	AdverseOutcome	AOdirect
Diethylstilbestrol	715	Activation, Constitutive androstane receptor	MolecularInitiatingEvent	MIEdirect
Benzoin	715	Activation, Constitutive androstane receptor	MolecularInitiatingEvent	MIEdirect
Etoposide	715	Activation, Constitutive androstane receptor	MolecularInitiatingEvent	MIEdirect
Febuxostat	715	Activation, Constitutive androstane receptor	MolecularInitiatingEvent	MIEdirect
Pimozide	715	Activation, Constitutive androstane receptor	MolecularInitiatingEvent	MIEdirect
2-Hydroxy-4-methoxybenzophenone	715	Activation, Constitutive androstane receptor	MolecularInitiatingEvent	MIEdirect
Cytarabine	715	Activation, Constitutive androstane receptor	MolecularInitiatingEvent	MIEdirect
meso-Hexestrol	715	Activation, Constitutive androstane receptor	MolecularInitiatingEvent	MIEdirect
Triclosan	715	Activation, Constitutive androstane receptor	MolecularInitiatingEvent	MIEdirect
Mifepristone	715	Activation, Constitutive androstane receptor	MolecularInitiatingEvent	MIEdirect
Lovastatin	715	Activation, Constitutive androstane receptor	MolecularInitiatingEvent	MIEdirect
Colchicine	715	Activation, Constitutive androstane receptor	MolecularInitiatingEvent	MIEdirect
Phenobarbital	715	Activation, Constitutive androstane receptor	MolecularInitiatingEvent	MIEdirect
Leflunomide	715	Activation, Constitutive androstane receptor	MolecularInitiatingEvent	MIEdirect
3'-Azido-3'-deoxythymidine	715	Activation, Constitutive androstane receptor	MolecularInitiatingEvent	MIEdirect
all-trans-Retinoic acid	715	Activation, Constitutive androstane receptor	MolecularInitiatingEvent	MIEdirect
Loratadine	715	Activation, Constitutive androstane receptor	MolecularInitiatingEvent	MIEdirect
o-(Chloroacetylcarbamoyl)fumagillol	715	Activation, Constitutive androstane receptor	MolecularInitiatingEvent	MIEdirect
Forskolin	715	Activation, Constitutive androstane receptor	MolecularInitiatingEvent	MIEdirect
Bexarotene	715	Activation, Constitutive androstane receptor	MolecularInitiatingEvent	MIEdirect
Carboxin	715	Activation, Constitutive androstane receptor	MolecularInitiatingEvent	MIEdirect
Levothyroxine	715	Activation, Constitutive androstane receptor	MolecularInitiatingEvent	MIEdirect
Cladribine	715	Activation, Constitutive androstane receptor	MolecularInitiatingEvent	MIEdirect
