name	type	nunber
5alpha-reductase, inhibition	MolecularInitiatingEvent	1
ACE2 inhibition	MolecularInitiatingEvent	2
Acetylcholinesterase (AchE) Inhibition	MolecularInitiatingEvent	3
Activation of Cyp2E1	MolecularInitiatingEvent	1
Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	48
Activation, 5HT2c	MolecularInitiatingEvent	1
Activation, AhR	MolecularInitiatingEvent	35
Activation, Constitutive androstane receptor	MolecularInitiatingEvent	30
Activation, Estrogen receptor	MolecularInitiatingEvent	134
Activation, LXR	MolecularInitiatingEvent	29
Activation, NR1H4	MolecularInitiatingEvent	35
Activation, PPARalpha	MolecularInitiatingEvent	5
Activation, PXR/SXR	MolecularInitiatingEvent	110
Agonism, Androgen receptor	MolecularInitiatingEvent	2
Alkylation, Protein	MolecularInitiatingEvent	1
Antagonism, Androgen receptor	MolecularInitiatingEvent	1
Binding at picrotoxin site, iGABAR chloride channel	MolecularInitiatingEvent	2
Binding of microtubule stabilizing agents (MSA) to microtubules	MolecularInitiatingEvent	2
Binding of substrate, endocytic receptor	MolecularInitiatingEvent	4
Binding to (interferes with) topoisomerase II enzyme	MolecularInitiatingEvent	1
Binding, Transthyretin in serum	MolecularInitiatingEvent	1
Binding, Tubulin	MolecularInitiatingEvent	4
Blockade, L-Type Calcium Channels 	MolecularInitiatingEvent	8
Covalent Binding, Protein	MolecularInitiatingEvent	1
CYP2E1 Activation	MolecularInitiatingEvent	10
CYP7B activity, inhibition	MolecularInitiatingEvent	6
Decreased testosterone by the fetal Leydig cells, Activation by other glucocorticoid receptor agonists	MolecularInitiatingEvent	81
Decreased, Androgen receptor activity	MolecularInitiatingEvent	1
Decreased, PPAR-beta activation	MolecularInitiatingEvent	7
Endocytotic lysosomal uptake	MolecularInitiatingEvent	3
Histone deacetylase inhibition	MolecularInitiatingEvent	2
impaired, ion channels	MolecularInitiatingEvent	1
Increase, DNA methyltransferase inhibition	MolecularInitiatingEvent	1
Increase, Dopaminergic activity	MolecularInitiatingEvent	1
Increase, Mitochondrial ATP synthase antagonism	MolecularInitiatingEvent	3
Increase, Mitochondrial complex III antagonism	MolecularInitiatingEvent	2
Increase, Oxidative damage to DNA	MolecularInitiatingEvent	1
Inhibition of Aromatase Enzyme, Chemical exposure during critical window of estrous cycle between diestrus 2 and proestrus inhibits aromatase conversion of testosterone to estradiol	MolecularInitiatingEvent	20
Inhibition of cystathionine beta-synthase	MolecularInitiatingEvent	1
Inhibition of mitochondrial DNA polymerase gamma (Pol gamma)	MolecularInitiatingEvent	3
Inhibition, 5-hydroxytryptamine transporter (5-HTT; SERT)	MolecularInitiatingEvent	7
Inhibition, 5alpha-reductase activity	MolecularInitiatingEvent	1
Inhibition, Antgonism of NE receptor	MolecularInitiatingEvent	1
Inhibition, Aromatase	MolecularInitiatingEvent	1
Inhibition, Calcineurin Activity	MolecularInitiatingEvent	1
Inhibition, Cyclooxygenase 1 activity	MolecularInitiatingEvent	16
Inhibition, Cyclooxygenase activity	MolecularInitiatingEvent	9
Inhibition, Deiodinase 1	MolecularInitiatingEvent	1
Inhibition, Ether-a-go-go (ERG) voltage-gated potassium channel 	MolecularInitiatingEvent	3
Inhibition, HMG-CoA reductase	MolecularInitiatingEvent	17
Inhibition, IKK complex	MolecularInitiatingEvent	3
Inhibition, organic anion transporter 1 (OAT1)	MolecularInitiatingEvent	7
Inhibition, PPAR alpha	MolecularInitiatingEvent	31
Inhibition, Pyruvate dehydrogenase kinase (PDK) enzyme	MolecularInitiatingEvent	1
Inhibition, sodium channel	MolecularInitiatingEvent	5
Inhibition, VegfR2	MolecularInitiatingEvent	3
